Country,antimicrobial_mg_per_population,Region
Senegal,19.64031,Sub-Saharan Africa
Serbia,52.55658,Europe and Central Asia
Seychelles,9496.926,Sub-Saharan Africa
Sierra Leone,17.48354,Sub-Saharan Africa
Singapore,64.36674,East Asia and Pacific
Slovakia,21.54904,Europe and Central Asia
Slovenia,12.80332,Europe and Central Asia
Solomon Islands,118.342,East Asia and Pacific
Mali,30.64287,Sub-Saharan Africa
South Africa,22.21957,Sub-Saharan Africa
Korea,121.5339,East Asia and Pacific
Sudan,23.85392,Sub-Saharan Africa
Spain,78.77776,Europe and Central Asia
Sri Lanka,75.82385,South Asia
Sudan,27.02198,Sub-Saharan Africa
Suriname,51.81121,Latin America and the Caribbean
Sweden,5.42308,Europe and Central Asia
Switzerland,19.72536,Europe and Central Asia
Syria,88.99445,Middle East and North Africa
Taiwan,111.919,East Asia and Pacific
Tajikistan,89.30186,Europe and Central Asia
Tanzania,21.61365,Sub-Saharan Africa
Thailand,337.7773,East Asia and Pacific
Togo,17.36265,Sub-Saharan Africa
Tonga,147.6218,East Asia and Pacific
Trinidad and Tobago,40.5739,Latin America and the Caribbean
Tunisia,22.305,Middle East and North Africa
Turkey,68.7383,Europe and Central Asia
Turkmenistan,115.282,Europe and Central Asia
Uganda,20.96775,Sub-Saharan Africa
Ukraine,57.90405,Europe and Central Asia
United Arab Emirates,52.43877,Middle East and North Africa
United Kingdom,15.60899,Europe and Central Asia
United States,30.60352,North America
Uruguay,73.39216,Latin America and the Caribbean
Uzbekistan,83.21526,Europe and Central Asia
Vanuatu,99.78377,East Asia and Pacific
Venezuela,54.22483,Latin America and the Caribbean
Vietnam,124.1683,East Asia and Pacific
Yemen,52.33308,Middle East and North Africa
Zambia,18.67087,Sub-Saharan Africa
Zimbabwe,21.34658,Sub-Saharan Africa
