Country,PercentResistant,antimicrobial_mg_per_population,prop_antibiotics_sold_without_prescription,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita
Congo,Empty,19.53925,Empty,0.207749,12.416,9.6,48.58362,6.974435
Congo,Empty,19.53925,Empty,0.207749,12.416,9.6,48.58362,43.07652
Congo,Empty,19.53925,Empty,0.207749,12.416,9.6,3.887039,6.974435
Congo,Empty,19.53925,Empty,0.207749,12.416,9.6,3.887039,43.07652
Congo,Empty,19.53925,Empty,0.207749,12.416,10.2,48.58362,6.974435
Congo,Empty,19.53925,Empty,0.207749,12.416,10.2,48.58362,43.07652
Congo,Empty,19.53925,Empty,0.207749,12.416,10.2,3.887039,6.974435
Congo,Empty,19.53925,Empty,0.207749,12.416,10.2,3.887039,43.07652
Congo,Empty,19.53925,Empty,0.077354,9.579,9.6,48.58362,6.974435
Congo,Empty,19.53925,Empty,0.077354,9.579,9.6,48.58362,43.07652
Congo,Empty,19.53925,Empty,0.077354,9.579,9.6,3.887039,6.974435
Congo,Empty,19.53925,Empty,0.077354,9.579,9.6,3.887039,43.07652
Congo,Empty,19.53925,Empty,0.077354,9.579,10.2,48.58362,6.974435
Congo,Empty,19.53925,Empty,0.077354,9.579,10.2,48.58362,43.07652
Congo,Empty,19.53925,Empty,0.077354,9.579,10.2,3.887039,6.974435
Congo,Empty,19.53925,Empty,0.077354,9.579,10.2,3.887039,43.07652
Congo,Empty,19.53925,Empty,0.077354,12.416,9.6,48.58362,6.974435
Congo,Empty,19.53925,Empty,0.077354,12.416,9.6,48.58362,43.07652
Congo,Empty,19.53925,Empty,0.077354,12.416,9.6,3.887039,6.974435
Congo,Empty,19.53925,Empty,0.077354,12.416,9.6,3.887039,43.07652
Congo,Empty,19.53925,Empty,0.077354,12.416,10.2,48.58362,6.974435
Congo,Empty,19.53925,Empty,0.077354,12.416,10.2,48.58362,43.07652
Congo,Empty,19.53925,Empty,0.077354,12.416,10.2,3.887039,6.974435
Congo,Empty,19.53925,Empty,0.077354,12.416,10.2,3.887039,43.07652
Congo,Empty,20.78166,Empty,0.207749,9.579,9.6,48.58362,6.974435
Congo,Empty,20.78166,Empty,0.207749,9.579,9.6,48.58362,43.07652
Congo,Empty,20.78166,Empty,0.207749,9.579,9.6,3.887039,6.974435
Congo,Empty,20.78166,Empty,0.207749,9.579,9.6,3.887039,43.07652
Congo,Empty,20.78166,Empty,0.207749,9.579,10.2,48.58362,6.974435
Congo,Empty,20.78166,Empty,0.207749,9.579,10.2,48.58362,43.07652
Congo,Empty,20.78166,Empty,0.207749,9.579,10.2,3.887039,6.974435
Congo,Empty,20.78166,Empty,0.207749,9.579,10.2,3.887039,43.07652
Congo,Empty,20.78166,Empty,0.207749,12.416,9.6,48.58362,6.974435
Congo,Empty,20.78166,Empty,0.207749,12.416,9.6,48.58362,43.07652
Congo,Empty,20.78166,Empty,0.207749,12.416,9.6,3.887039,6.974435
Congo,Empty,20.78166,Empty,0.207749,12.416,9.6,3.887039,43.07652
Congo,Empty,20.78166,Empty,0.207749,12.416,10.2,48.58362,6.974435
Congo,Empty,20.78166,Empty,0.207749,12.416,10.2,48.58362,43.07652
Congo,Empty,20.78166,Empty,0.207749,12.416,10.2,3.887039,6.974435
Congo,Empty,20.78166,Empty,0.207749,12.416,10.2,3.887039,43.07652
Congo,Empty,20.78166,Empty,0.077354,9.579,9.6,48.58362,6.974435
Congo,Empty,20.78166,Empty,0.077354,9.579,9.6,48.58362,43.07652
Congo,Empty,20.78166,Empty,0.077354,9.579,9.6,3.887039,6.974435
Congo,Empty,20.78166,Empty,0.077354,9.579,9.6,3.887039,43.07652
Congo,Empty,20.78166,Empty,0.077354,9.579,10.2,48.58362,6.974435
Congo,Empty,20.78166,Empty,0.077354,9.579,10.2,48.58362,43.07652
Congo,Empty,20.78166,Empty,0.077354,9.579,10.2,3.887039,6.974435
Congo,Empty,20.78166,Empty,0.077354,9.579,10.2,3.887039,43.07652
Congo,Empty,20.78166,Empty,0.077354,12.416,9.6,48.58362,6.974435
Congo,Empty,20.78166,Empty,0.077354,12.416,9.6,48.58362,43.07652
Congo,Empty,20.78166,Empty,0.077354,12.416,9.6,3.887039,6.974435
Congo,Empty,20.78166,Empty,0.077354,12.416,9.6,3.887039,43.07652
Congo,Empty,20.78166,Empty,0.077354,12.416,10.2,48.58362,6.974435
Congo,Empty,20.78166,Empty,0.077354,12.416,10.2,48.58362,43.07652
Congo,Empty,20.78166,Empty,0.077354,12.416,10.2,3.887039,6.974435
Congo,Empty,20.78166,Empty,0.077354,12.416,10.2,3.887039,43.07652
Cook Islands,Empty,26759.34,Empty,Empty,Empty,Empty,Empty,Empty
Costa Rica,Empty,64.80021,Empty,14.08941,16.092,29.8,61.45511,174.1296
Croatia,Empty,35.79841,Empty,8.654839,15.573,194.2,97.14256,179.7916
Cuba,Empty,70.6292,Empty,8.708344,14.469,7.6,61.48557,78.60826
Cyprus,Empty,234.6739,Empty,7.012381,16.243,61.1,71.7594,168.1186
Czechia,Empty,25.41189,Empty,8.081969,16.347,Empty,81.66525,165.0413
Denmark,Empty,20.45157,Empty,14.72833,18.774,64.2,66.79564,394.2966
Djibouti,Empty,27.14289,Empty,1.793991,8.028,12.1,14.46036,42.91778
Dominica,Empty,139.1235,Empty,9.085699,13.55,6.9,86.43928,114.9803
Dominica,Empty,139.1235,Empty,9.085699,13.55,6.9,86.43928,112.7708
Dominica,Empty,139.1235,Empty,9.085699,13.55,6.9,57.76016,114.9803
Dominica,Empty,139.1235,Empty,9.085699,13.55,6.9,57.76016,112.7708
Dominica,Empty,139.1235,Empty,9.085699,13.55,7.0,86.43928,114.9803
Dominica,Empty,139.1235,Empty,9.085699,13.55,7.0,86.43928,112.7708
Dominica,Empty,139.1235,Empty,9.085699,13.55,7.0,57.76016,114.9803
Dominica,Empty,139.1235,Empty,9.085699,13.55,7.0,57.76016,112.7708
Dominica,Empty,139.1235,Empty,9.085699,13.557,6.9,86.43928,114.9803
Dominica,Empty,139.1235,Empty,9.085699,13.557,6.9,86.43928,112.7708
Dominica,Empty,139.1235,Empty,9.085699,13.557,6.9,57.76016,114.9803
Dominica,Empty,139.1235,Empty,9.085699,13.557,6.9,57.76016,112.7708
Dominica,Empty,139.1235,Empty,9.085699,13.557,7.0,86.43928,114.9803
Dominica,Empty,139.1235,Empty,9.085699,13.557,7.0,86.43928,112.7708
Dominica,Empty,139.1235,Empty,9.085699,13.557,7.0,57.76016,114.9803
Dominica,Empty,139.1235,Empty,9.085699,13.557,7.0,57.76016,112.7708
Dominica,Empty,139.1235,Empty,16.34721,13.55,6.9,86.43928,114.9803
Dominica,Empty,139.1235,Empty,16.34721,13.55,6.9,86.43928,112.7708
Dominica,Empty,139.1235,Empty,16.34721,13.55,6.9,57.76016,114.9803
Dominica,Empty,139.1235,Empty,16.34721,13.55,6.9,57.76016,112.7708
Dominica,Empty,139.1235,Empty,16.34721,13.55,7.0,86.43928,114.9803
Dominica,Empty,139.1235,Empty,16.34721,13.55,7.0,86.43928,112.7708
Dominica,Empty,139.1235,Empty,16.34721,13.55,7.0,57.76016,114.9803
Dominica,Empty,139.1235,Empty,16.34721,13.55,7.0,57.76016,112.7708
Dominica,Empty,139.1235,Empty,16.34721,13.557,6.9,86.43928,114.9803
